symbol,price,date
BTCUSDT,29275.920,2023-04-30 10:02:36
BTCUSDT,29275.920,2023-04-30 10:02:41
BTCUSDT,29275.920,2023-04-30 10:02:46
BTCUSDT,29275.920,2023-04-30 10:02:50
BTCUSDT,29275.930,2023-04-30 10:02:55
BTCUSDT,29275.920,2023-04-30 10:02:59
BTCUSDT,29275.920,2023-04-30 10:03:04
BTCUSDT,29275.920,2023-04-30 10:03:08
BTCUSDT,29275.930,2023-04-30 10:03:12
BTCUSDT,29275.920,2023-04-30 10:03:17
BTCUSDT,29275.930,2023-04-30 10:03:21
BTCUSDT,29275.930,2023-04-30 10:03:26
BTCUSDT,29275.920,2023-04-30 10:03:30
BTCUSDT,29275.920,2023-04-30 10:03:35
BTCUSDT,29275.930,2023-04-30 10:03:39
BTCUSDT,29275.920,2023-04-30 10:03:44
BTCUSDT,29275.920,2023-04-30 10:03:48
BTCUSDT,29275.920,2023-04-30 10:03:53
BTCUSDT,29275.920,2023-04-30 10:03:57
BTCUSDT,29275.920,2023-04-30 10:04:02
BTCUSDT,29275.920,2023-04-30 10:04:06
BTCUSDT,29275.930,2023-04-30 10:04:11
BTCUSDT,29275.920,2023-04-30 10:04:15
BTCUSDT,29275.930,2023-04-30 10:04:20
BTCUSDT,29275.920,2023-04-30 10:04:24
BTCUSDT,29276.220,2023-04-30 10:04:29
BTCUSDT,29278.220,2023-04-30 10:04:33
BTCUSDT,29278.210,2023-04-30 10:04:38
BTCUSDT,29281.460,2023-04-30 10:04:42
BTCUSDT,29281.470,2023-04-30 10:04:47
BTCUSDT,29281.460,2023-04-30 10:04:52
BTCUSDT,29281.460,2023-04-30 10:04:57
BTCUSDT,29281.470,2023-04-30 10:05:01
BTCUSDT,29281.460,2023-04-30 10:05:06
BTCUSDT,29281.460,2023-04-30 10:05:10
BTCUSDT,29281.470,2023-04-30 10:05:15
BTCUSDT,29281.470,2023-04-30 10:05:19
BTCUSDT,29281.460,2023-04-30 10:05:24
BTCUSDT,29281.460,2023-04-30 10:05:28
BTCUSDT,29281.460,2023-04-30 10:05:33
BTCUSDT,29281.460,2023-04-30 10:05:38
BTCUSDT,29281.470,2023-04-30 10:05:42
BTCUSDT,29281.470,2023-04-30 10:05:47
BTCUSDT,29281.470,2023-04-30 10:05:51
BTCUSDT,29279.550,2023-04-30 10:05:56
BTCUSDT,29279.550,2023-04-30 10:06:00
BTCUSDT,29279.550,2023-04-30 10:06:05
BTCUSDT,29279.550,2023-04-30 10:06:09
BTCUSDT,29279.550,2023-04-30 10:06:14
BTCUSDT,29279.540,2023-04-30 10:06:18
BTCUSDT,29279.550,2023-04-30 10:06:23
BTCUSDT,29279.540,2023-04-30 10:06:27
BTCUSDT,29279.540,2023-04-30 10:06:32
BTCUSDT,29279.550,2023-04-30 10:06:36
BTCUSDT,29279.540,2023-04-30 10:06:41
BTCUSDT,29279.320,2023-04-30 10:06:45
BTCUSDT,29279.330,2023-04-30 10:06:50
BTCUSDT,29279.320,2023-04-30 10:06:54
BTCUSDT,29277.910,2023-04-30 10:06:59
BTCUSDT,29269.010,2023-04-30 10:07:03
BTCUSDT,29269.010,2023-04-30 10:07:08
BTCUSDT,29269.010,2023-04-30 10:07:12
BTCUSDT,29269.010,2023-04-30 10:07:17
BTCUSDT,29268.830,2023-04-30 10:07:21
BTCUSDT,29268.820,2023-04-30 10:07:26
BTCUSDT,29266.260,2023-04-30 10:07:30
BTCUSDT,29266.250,2023-04-30 10:07:35
BTCUSDT,29266.250,2023-04-30 10:07:39
BTCUSDT,29266.260,2023-04-30 10:07:44
BTCUSDT,29266.250,2023-04-30 10:07:48
BTCUSDT,29266.000,2023-04-30 10:07:53
BTCUSDT,29266.000,2023-04-30 10:07:57
BTCUSDT,29264.820,2023-04-30 10:08:02
BTCUSDT,29264.820,2023-04-30 10:08:06
BTCUSDT,29264.830,2023-04-30 10:08:11
BTCUSDT,29264.830,2023-04-30 10:08:15
BTCUSDT,29264.820,2023-04-30 10:08:20
BTCUSDT,29264.830,2023-04-30 10:08:24
BTCUSDT,29264.830,2023-04-30 10:08:29
BTCUSDT,29264.820,2023-04-30 10:08:33
BTCUSDT,29264.820,2023-04-30 10:08:37
BTCUSDT,29264.820,2023-04-30 10:08:42
BTCUSDT,29264.820,2023-04-30 10:08:47
BTCUSDT,29264.820,2023-04-30 10:08:51
BTCUSDT,29264.820,2023-04-30 10:08:56
BTCUSDT,29264.830,2023-04-30 10:09:00
BTCUSDT,29264.820,2023-04-30 10:09:05
BTCUSDT,29264.820,2023-04-30 10:09:09
BTCUSDT,29268.990,2023-04-30 10:09:14
BTCUSDT,29269.000,2023-04-30 10:09:18
BTCUSDT,29269.010,2023-04-30 10:09:23
BTCUSDT,29270.270,2023-04-30 10:09:27
BTCUSDT,29278.000,2023-04-30 10:09:32
BTCUSDT,29278.000,2023-04-30 10:09:36
BTCUSDT,29277.240,2023-04-30 10:09:41
BTCUSDT,29276.940,2023-04-30 10:09:45
BTCUSDT,29276.940,2023-04-30 10:09:50
BTCUSDT,29276.940,2023-04-30 10:09:54
BTCUSDT,29276.930,2023-04-30 10:09:59
BTCUSDT,29276.930,2023-04-30 10:10:03
BTCUSDT,29276.940,2023-04-30 10:10:08
BTCUSDT,29276.930,2023-04-30 10:10:12
BTCUSDT,29276.930,2023-04-30 10:10:17
BTCUSDT,29276.920,2023-04-30 10:10:21
BTCUSDT,29276.920,2023-04-30 10:10:26
BTCUSDT,29276.920,2023-04-30 10:10:30
BTCUSDT,29276.930,2023-04-30 10:10:35
BTCUSDT,29276.870,2023-04-30 10:10:39
BTCUSDT,29273.460,2023-04-30 10:10:43
BTCUSDT,29273.470,2023-04-30 10:10:48
BTCUSDT,29273.470,2023-04-30 10:10:52
BTCUSDT,29273.470,2023-04-30 10:10:57
BTCUSDT,29273.470,2023-04-30 10:11:01
BTCUSDT,29273.470,2023-04-30 10:11:06
BTCUSDT,29273.460,2023-04-30 10:11:10
BTCUSDT,29273.460,2023-04-30 10:11:15
BTCUSDT,29273.460,2023-04-30 10:11:20
BTCUSDT,29273.460,2023-04-30 10:11:24
BTCUSDT,29273.470,2023-04-30 10:11:29
BTCUSDT,29273.460,2023-04-30 10:11:33
BTCUSDT,29273.460,2023-04-30 10:11:38
BTCUSDT,29276.720,2023-04-30 10:11:42
BTCUSDT,29276.720,2023-04-30 10:11:47
BTCUSDT,29276.730,2023-04-30 10:11:51
BTCUSDT,29276.720,2023-04-30 10:11:55
BTCUSDT,29276.720,2023-04-30 10:12:00
BTCUSDT,29276.720,2023-04-30 10:12:04
BTCUSDT,29276.720,2023-04-30 10:12:09
BTCUSDT,29276.720,2023-04-30 10:12:13
BTCUSDT,29276.720,2023-04-30 10:12:18
BTCUSDT,29276.720,2023-04-30 10:12:22
BTCUSDT,29276.720,2023-04-30 10:12:27
BTCUSDT,29276.720,2023-04-30 10:12:31
BTCUSDT,29276.720,2023-04-30 10:12:36
BTCUSDT,29276.730,2023-04-30 10:12:40
BTCUSDT,29276.720,2023-04-30 10:12:45
BTCUSDT,29276.720,2023-04-30 10:12:49
BTCUSDT,29276.720,2023-04-30 10:12:54
BTCUSDT,29276.720,2023-04-30 10:12:58
BTCUSDT,29276.720,2023-04-30 10:13:03
BTCUSDT,29276.720,2023-04-30 10:13:07
BTCUSDT,29276.720,2023-04-30 10:13:12
BTCUSDT,29276.720,2023-04-30 10:13:16
BTCUSDT,29276.730,2023-04-30 10:13:21
BTCUSDT,29276.730,2023-04-30 10:13:26
BTCUSDT,29276.730,2023-04-30 10:13:30
BTCUSDT,29276.720,2023-04-30 10:13:35
BTCUSDT,29276.720,2023-04-30 10:13:39
BTCUSDT,29276.730,2023-04-30 10:13:43
BTCUSDT,29276.720,2023-04-30 10:13:48
BTCUSDT,29276.720,2023-04-30 10:13:52
BTCUSDT,29276.720,2023-04-30 10:13:57
BTCUSDT,29276.720,2023-04-30 10:14:01
BTCUSDT,29276.720,2023-04-30 10:14:06
BTCUSDT,29276.720,2023-04-30 10:14:10
BTCUSDT,29276.730,2023-04-30 10:14:15
BTCUSDT,29276.730,2023-04-30 10:14:19
BTCUSDT,29276.720,2023-04-30 10:14:24
BTCUSDT,29276.730,2023-04-30 10:14:28
BTCUSDT,29276.720,2023-04-30 10:14:33
BTCUSDT,29276.730,2023-04-30 10:14:37
BTCUSDT,29276.720,2023-04-30 10:14:42
BTCUSDT,29276.730,2023-04-30 10:14:47
BTCUSDT,29276.730,2023-04-30 10:14:51
BTCUSDT,29276.730,2023-04-30 10:14:55
BTCUSDT,29280.710,2023-04-30 10:15:00
BTCUSDT,29280.850,2023-04-30 10:15:04
BTCUSDT,29280.850,2023-04-30 10:15:09
BTCUSDT,29280.840,2023-04-30 10:15:13
BTCUSDT,29280.850,2023-04-30 10:15:18
BTCUSDT,29280.850,2023-04-30 10:15:22
BTCUSDT,29287.200,2023-04-30 10:15:27
BTCUSDT,29288.000,2023-04-30 10:15:31
BTCUSDT,29287.990,2023-04-30 10:15:36
BTCUSDT,29288.000,2023-04-30 10:15:40
BTCUSDT,29288.000,2023-04-30 10:15:45
BTCUSDT,29288.000,2023-04-30 10:15:49
BTCUSDT,29287.990,2023-04-30 10:15:54
BTCUSDT,29287.990,2023-04-30 10:15:58
BTCUSDT,29287.990,2023-04-30 10:16:03
BTCUSDT,29287.990,2023-04-30 10:16:07
BTCUSDT,29287.990,2023-04-30 10:16:12
BTCUSDT,29287.990,2023-04-30 10:16:16
BTCUSDT,29289.320,2023-04-30 10:16:20
BTCUSDT,29289.310,2023-04-30 10:16:25
BTCUSDT,29289.320,2023-04-30 10:16:29
BTCUSDT,29289.320,2023-04-30 10:16:34
BTCUSDT,29289.310,2023-04-30 10:16:38
BTCUSDT,29289.320,2023-04-30 10:16:43
BTCUSDT,29295.620,2023-04-30 10:16:47
BTCUSDT,29295.620,2023-04-30 10:16:52
BTCUSDT,29295.620,2023-04-30 10:16:56
BTCUSDT,29295.620,2023-04-30 10:17:01
BTCUSDT,29295.650,2023-04-30 10:17:05
BTCUSDT,29290.700,2023-04-30 10:17:10
BTCUSDT,29289.330,2023-04-30 10:17:14
BTCUSDT,29280.020,2023-04-30 10:17:19
BTCUSDT,29278.540,2023-04-30 10:17:23
BTCUSDT,29278.540,2023-04-30 10:17:28
BTCUSDT,29278.540,2023-04-30 10:17:32
BTCUSDT,29278.540,2023-04-30 10:17:37
BTCUSDT,29278.540,2023-04-30 10:17:41
BTCUSDT,29278.550,2023-04-30 10:17:46
BTCUSDT,29278.540,2023-04-30 10:17:50
BTCUSDT,29278.540,2023-04-30 10:17:55
BTCUSDT,29278.540,2023-04-30 10:17:59
BTCUSDT,29278.550,2023-04-30 10:18:04
BTCUSDT,29278.550,2023-04-30 10:18:08
BTCUSDT,29278.550,2023-04-30 10:18:13
BTCUSDT,29278.540,2023-04-30 10:18:17
BTCUSDT,29278.550,2023-04-30 10:18:21
BTCUSDT,29278.540,2023-04-30 10:18:26
BTCUSDT,29278.550,2023-04-30 10:18:30
BTCUSDT,29278.540,2023-04-30 10:18:35
BTCUSDT,29278.540,2023-04-30 10:18:39
BTCUSDT,29278.550,2023-04-30 10:18:44
BTCUSDT,29278.540,2023-04-30 10:18:48
BTCUSDT,29278.580,2023-04-30 10:18:53
BTCUSDT,29278.590,2023-04-30 10:18:58
BTCUSDT,29278.590,2023-04-30 10:19:02
BTCUSDT,29279.940,2023-04-30 10:19:07
BTCUSDT,29281.090,2023-04-30 10:19:11
BTCUSDT,29281.080,2023-04-30 10:19:16
BTCUSDT,29281.080,2023-04-30 10:19:20
BTCUSDT,29281.090,2023-04-30 10:19:25
BTCUSDT,29281.160,2023-04-30 10:19:29
BTCUSDT,29287.570,2023-04-30 10:19:34
BTCUSDT,29287.570,2023-04-30 10:19:38
BTCUSDT,29287.570,2023-04-30 10:19:42
BTCUSDT,29289.390,2023-04-30 10:19:47
BTCUSDT,29289.400,2023-04-30 10:19:51
BTCUSDT,29289.400,2023-04-30 10:19:56
BTCUSDT,29289.570,2023-04-30 10:20:01
BTCUSDT,29289.580,2023-04-30 10:20:05
BTCUSDT,29289.610,2023-04-30 10:20:10
BTCUSDT,29289.610,2023-04-30 10:20:14
BTCUSDT,29290.930,2023-04-30 10:20:19
BTCUSDT,29290.940,2023-04-30 10:20:23
BTCUSDT,29290.930,2023-04-30 10:20:28
BTCUSDT,29289.620,2023-04-30 10:20:32
BTCUSDT,29289.620,2023-04-30 10:20:37
BTCUSDT,29289.620,2023-04-30 10:20:41
BTCUSDT,29289.630,2023-04-30 10:20:46
BTCUSDT,29289.620,2023-04-30 10:20:50
